Membership No  Date Joined  Active  
    63975      2017-1-21    yes   
    85695      2016-10-11   yes   
    70477      2018-4-1     no    
    72160      2018-6-20    no    
    95276      2018-8-21    no    
    83257      2017-6-22    yes   
    61510      2015-1-4     yes   
    76874      2019-5-4     yes   
    74899      2018-7-2     no    
    75431      2020-11-23   yes   
    89237      2017-4-9     no    
    51964      2018-4-6     no    
    81718      2015-11-22   yes   
    41966      2016-9-13    no    
    73248      2018-8-2     no    
    23601      2016-10-21   no    
    49250      2019-4-7     no    
    90569      2017-1-16    yes   
    41753      2019-6-14    no    
    52004      2017-7-6     yes   
