Membership No  Date Joined  Active  
    87681      2016-11-18   yes   
    81345      2015-2-6     yes   
    56483      2017-6-12    no    
    53354      2018-11-10   no    
    79366      2018-5-2     no    
    70772      2018-2-5     no    
    55548      2020-4-24    yes   
    28739      2020-1-20    yes   
    89236      2016-6-2     no    
    44878      2016-6-8     yes   
    21583      2017-11-22   yes   
    11978      2020-2-3     no    
    90635      2018-12-4    yes   
    85907      2017-1-16    yes   
    83493      2020-6-21    yes   
    21876      2015-5-12    yes   
    10750      2015-8-3     yes   
    58125      2018-10-25   yes   
    18571      2015-7-19    yes   
    87086      2017-4-22    no    
